The benchmark will use more than 10GB of disk space. Instance IDs  {0,,23}. Rio Claro Moto instances.
ID;dir;subdir ;  Delivery Points ; number of vehicles ; Max Allowed Route (px); comment ;random seed; md5
0;toy;RioClaroMoto_3_0;3;2;145945;Toy. 2 rotas. Max route 145945=21600s=6h.;200;00000000000000000000000000000000
1;toy;RioClaroMoto_3_1;3;2;145945;Toy. 2 rotas. Max route 145945=21600s=6h.;201;00000000000000000000000000000000
2;toy;RioClaroMoto_3_2;3;2;145945;Toy. 2 rotas. Max route 145945=21600s=6h.;202;00000000000000000000000000000000
3;toy;RioClaroMoto_5_0;5;2;145945;Toy. 2 rotas. Max route 145945=21600s=6h.;203;00000000000000000000000000000000
4;toy;RioClaroMoto_5_1;5;2;145945;Toy. 2 rotas. Max route 145945=21600s=6h.;204;00000000000000000000000000000000
5;toy;RioClaroMoto_5_2;5;2;145945;Toy. 2 rotas. Max route 145945=21600s=6h.;205;00000000000000000000000000000000
6;toy;RioClaroMoto_10_0;10;3;145945;Toy. 3 rotas. Max route 145945=21600s=6h.;206;00000000000000000000000000000000
7;toy;RioClaroMoto_10_1;10;3;145945;Toy. 3 rotas. Max route 145945=21600s=6h.;207;00000000000000000000000000000000
8;toy;RioClaroMoto_10_2;10;3;145945;Toy. 3 rotas. Max route 145945=21600s=6h.;208;00000000000000000000000000000000
9;toy;RioClaroMoto_20_0;20;3;145945;Toy. 3 rotas. Max route 145945=21600s=6h.;209;00000000000000000000000000000000
10;toy;RioClaroMoto_20_1;20;3;145945;Toy. 3 rotas. Max route 145945=21600s=6h.;210;00000000000000000000000000000000
11;toy;RioClaroMoto_20_2;20;3;145945;Toy. 3 rotas. Max route 145945=21600s=6h.;211;00000000000000000000000000000000
12;toy;RioClaroMoto_50_0;50;8;145945;Toy. 8 rotas. Max route 145945=21600s=6h.;212;00000000000000000000000000000000
13;toy;RioClaroMoto_50_1;50;8;145945;Toy. 8 rotas. Max route 145945=21600s=6h.;213;00000000000000000000000000000000
14;toy;RioClaroMoto_50_2;50;8;145945;Toy. 8 rotas. Max route 145945=21600s=6h.;214;00000000000000000000000000000000
15;medium;RioClaroMoto_100_0;100;15;145945;Medium. 15 rotas. Max route 145945=21600s=6h.;215;00000000000000000000000000000000
16;medium;RioClaroMoto_100_1;100;15;145945;Medium. 15 rotas. Max route 145945=21600s=6h.;216;00000000000000000000000000000000
17;medium;RioClaroMoto_100_2;100;15;145945;Medium. 15 rotas. Max route 145945=21600s=6h.;217;00000000000000000000000000000000
18;medium;RioClaroMoto_200_0;200;30;145945;Medium. 30 rotas. Max route 145945=21600s=6h.;218;00000000000000000000000000000000
19;medium;RioClaroMoto_200_1;200;30;145945;Medium. 30 rotas. Max route 145945=21600s=6h.;219;00000000000000000000000000000000
20;medium;RioClaroMoto_200_2;200;30;145945;Medium. 30 rotas. Max route 145945=21600s=6h.;220;00000000000000000000000000000000
21;medium;RioClaroMoto_500_0;500;75;145945;Medium. 75 rotas. Max route 145945=21600s=6h.;221;00000000000000000000000000000000
22;medium;RioClaroMoto_500_1;500;75;145945;Medium. 75 rotas. Max route 145945=21600s=6h.;222;00000000000000000000000000000000
23;medium;RioClaroMoto_500_2;500;75;145945;Medium. 75 rotas. Max route 145945=21600s=6h.;223;00000000000000000000000000000000
